timestamp,price,type,direction,tag,time_from_prev_seconds,price_diff_from_prev,inverted_frequency,above_threshold,consecutive_above,choppiness_trigger
2025-11-11 17:40:00,25501.5,VALLE,down,minor,240.0,35.5,9540.0,1,2.0,1
2025-11-11 17:50:00,25536.5,PICO,up,minor,600.0,35.0,9180.0,1,2.0,1
2025-11-11 17:50:00,25508.0,VALLE,down,minor,0.0,28.5,9780.0,1,2.0,1
2025-11-11 17:55:00,25539.0,PICO,up,minor,300.0,31.0,9480.0,1,2.0,1
2025-11-11 17:59:00,25503.75,VALLE,down,minor,240.0,35.25,9540.0,1,2.0,1
2025-11-11 18:06:00,25575.25,PICO,up,minor,420.0,71.5,9360.0,1,2.0,1
2025-11-11 18:11:00,25542.0,VALLE,down,minor,300.0,33.25,9480.0,1,2.0,1
2025-11-11 18:20:00,25598.75,PICO,up,minor,540.0,56.75,9240.0,1,2.0,1
2025-11-11 18:28:00,25548.75,VALLE,down,minor,480.0,50.0,9300.0,1,2.0,1
2025-11-11 19:01:00,25640.5,PICO,up,minor,1980.0,91.75,7800.0,1,2.0,1
2025-11-11 19:03:00,25609.75,VALLE,down,minor,120.0,30.75,9660.0,1,2.0,1
2025-11-11 19:21:00,25671.75,PICO,up,minor,1080.0,62.0,8700.0,1,2.0,1
2025-11-11 19:27:00,25624.25,VALLE,down,minor,360.0,47.5,9420.0,1,2.0,1
2025-11-11 19:31:00,25655.5,PICO,up,minor,240.0,31.25,9540.0,1,2.0,1
2025-11-11 19:36:00,25607.25,VALLE,down,minor,300.0,48.25,9480.0,1,2.0,1
2025-11-11 19:59:00,25696.25,PICO,up,minor,1380.0,89.0,8400.0,1,2.0,1
2025-11-11 20:07:00,25637.75,VALLE,down,minor,480.0,58.5,9300.0,1,2.0,1
2025-11-11 20:17:00,25681.0,PICO,up,minor,600.0,43.25,9180.0,1,2.0,1
2025-11-11 20:46:00,25645.5,VALLE,down,minor,1740.0,35.5,8040.0,1,2.0,1
2025-11-11 21:13:00,25682.25,PICO,up,minor,1620.0,36.75,8160.0,1,2.0,1
2025-11-11 21:31:00,25642.75,VALLE,down,minor,1080.0,39.5,8700.0,1,2.0,1
2025-11-11 21:53:00,25688.5,PICO,up,minor,1320.0,45.75,8460.0,1,2.0,1
2025-11-11 21:59:00,25619.75,VALLE,down,minor,360.0,68.75,9420.0,1,2.0,1
2025-11-11 22:01:00,25658.25,PICO,up,minor,120.0,38.5,9660.0,1,2.0,1
2025-11-11 22:03:00,25626.75,VALLE,down,minor,120.0,31.5,9660.0,1,2.0,1
2025-11-11 22:15:00,25687.5,PICO,up,minor,720.0,60.75,9060.0,1,2.0,1
