timestamp,price,type,direction,tag,time_from_prev_minutes,price_diff_from_prev,fractal_atr_n,price_range_n,atr_threshold_120,frequency_inverse,cumulative_frequency_n,avg_time_between_fractals_n
2024-04-01 00:04:00+02:00,2376.6,VALLE,down,minor,,,,,,,,
2024-04-01 06:04:00+02:00,2407.5,PICO,up,minor,360.0,30.90000000000009,,,,0.002777777777777778,0.002777777777777778,360.0
2024-04-01 14:12:00+02:00,2385.2,VALLE,down,minor,488.0,22.300000000000182,,,,0.0020491803278688526,0.0025591985428051003,398.4
2024-04-01 15:24:00+02:00,2400.1,PICO,up,minor,72.0,14.900000000000091,,,,0.013888888888888888,0.005958105646630237,300.47999999999996
2024-04-01 16:42:00+02:00,2370.2,VALLE,down,minor,78.0,29.90000000000009,,,,0.01282051282051282,0.008016827798795012,233.73599999999996
2024-04-02 11:32:00+02:00,2408.6,PICO,up,minor,1130.0,38.40000000000009,,,,0.0008849557522123894,0.005877266184820225,502.61519999999996
2024-04-02 14:37:00+02:00,2394.7,VALLE,down,minor,185.0,13.900000000000091,,38.40000000000009,,0.005405405405405406,0.005735707950995779,407.33063999999996
2024-04-02 16:30:00+02:00,2419.0,PICO,up,minor,113.0,24.300000000000182,24.94285714285726,48.80000000000018,29.93142857142871,0.008849557522123894,0.006669862822334213,319.03144799999995
2024-04-02 17:35:00+02:00,2392.2,VALLE,down,minor,65.0,26.800000000000182,24.357142857142986,48.80000000000018,29.22857142857158,0.015384615384615385,0.009284288591018566,242.82201359999996
2024-04-03 00:24:00+02:00,2429.9,PICO,up,minor,409.0,37.70000000000027,26.557142857143,59.70000000000027,31.8685714285716,0.0024449877750611247,0.007232498346231333,292.67540951999996
2024-04-03 14:27:00+02:00,2406.8,VALLE,down,minor,843.0,23.09999999999991,27.728571428571545,59.70000000000027,33.27428571428585,0.0011862396204033216,0.005418620728482929,457.7727866639999
2024-04-04 03:01:00+02:00,2445.9,PICO,up,minor,754.0,39.09999999999991,29.042857142857233,53.70000000000027,34.85142857142868,0.001326259946949602,0.004190912494022931,546.6409506647999
2024-04-04 14:42:00+02:00,2422.9,VALLE,down,minor,701.0,23.0,26.84285714285722,53.70000000000027,32.21142857142866,0.0014265335235378032,0.0033615988028773925,592.9486654653599
2024-04-04 16:35:00+02:00,2440.0,PICO,up,minor,113.0,17.09999999999991,27.30000000000005,53.70000000000027,32.76000000000006,0.008849557522123894,0.005007986418651343,448.9640658257519
2024-04-04 19:00:00+02:00,2426.7,VALLE,down,minor,145.0,13.300000000000182,25.72857142857148,53.70000000000027,30.874285714285776,0.006896551724137931,0.005574556010297319,357.7748460780263
2024-04-04 20:57:00+02:00,2446.4,PICO,up,minor,117.0,19.700000000000273,24.71428571428578,39.59999999999991,29.657142857142933,0.008547008547008548,0.006466291771310687,285.5423922546184
2024-04-04 21:51:00+02:00,2419.8,VALLE,down,minor,54.0,26.59999999999991,23.12857142857144,39.59999999999991,27.75428571428573,0.018518518518518517,0.010081959795473036,216.07967457823284
2024-04-05 00:24:00+02:00,2433.4,PICO,up,minor,153.0,13.599999999999909,21.771428571428583,26.59999999999991,26.1257142857143,0.006535947712418301,0.009018156170556615,197.155772204763
2024-04-05 03:32:00+02:00,2407.3,VALLE,down,minor,188.0,26.09999999999991,19.91428571428573,39.09999999999991,23.897142857142875,0.005319148936170213,0.007908454000240693,194.4090405433341
2024-04-05 14:30:00+02:00,2436.8,PICO,up,minor,658.0,29.5,20.842857142857156,39.09999999999991,25.011428571428585,0.001519756838905775,0.005991844851840218,333.4863283803339
2024-04-05 14:34:00+02:00,2420.7,VALLE,down,minor,4.0,16.100000000000364,20.700000000000077,39.09999999999991,24.840000000000092,0.25,0.07919429139628816,234.6404298662337
2024-04-05 19:12:00+02:00,2471.1,PICO,up,minor,278.0,50.40000000000009,26.000000000000064,63.79999999999973,31.200000000000074,0.0035971223021582736,0.05651514066804919,247.64830090636354
2024-04-08 03:02:00+02:00,2442.8,VALLE,down,minor,3350.0,28.299999999999727,27.228571428571417,63.79999999999973,32.6742857142857,0.00029850746268656717,0.0396501507064404,1178.3538106344545
2024-04-08 04:40:00+02:00,2493.6,PICO,up,minor,98.0,50.79999999999973,30.685714285714248,86.29999999999973,36.822857142857096,0.01020408163265306,0.030816329984304197,854.2476674441181
2024-04-08 14:28:00+02:00,2462.4,VALLE,down,minor,588.0,31.199999999999818,33.199999999999946,86.29999999999973,39.83999999999993,0.0017006802721088435,0.02208163507064559,774.3733672108826
2024-04-08 15:35:00+02:00,2475.9,PICO,up,minor,67.0,13.5,31.39999999999996,72.90000000000009,37.67999999999995,0.014925373134328358,0.01993475648975042,562.1613570476178
2024-04-08 16:06:00+02:00,2457.9,VALLE,down,minor,31.0,18.0,29.757142857142817,72.90000000000009,35.70857142857138,0.03225806451612903,0.023631748897664,402.81294993333245
2024-04-09 11:28:00+02:00,2505.6,PICO,up,minor,1162.0,47.69999999999982,34.27142857142845,62.79999999999973,41.12571428571414,0.0008605851979345956,0.016800399787745175,630.5690649533326
2024-04-09 14:38:00+02:00,2485.2,VALLE,down,minor,190.0,20.40000000000009,29.98571428571417,62.79999999999973,35.982857142857,0.005263157894736842,0.013339227219842676,498.3983454673328
2024-04-09 16:34:00+02:00,2504.2,PICO,up,minor,116.0,19.0,28.65714285714278,47.69999999999982,34.38857142857133,0.008620689655172414,0.011923665950441597,383.67884182713294
2024-04-09 17:57:00+02:00,2478.1,VALLE,down,minor,83.0,26.09999999999991,25.128571428571377,47.69999999999982,30.15428571428565,0.012048192771084338,0.011961023996634419,293.475189278993
