timestamp;precio;volume;lado;bid;ask
2025-12-18 00:00:00.026;24744,0;1;BID;24754,75;24763,75
2025-12-18 00:00:00.404;24752,5;1;BID;24754,75;24763,75
2025-12-18 00:00:00.404;24752,5;1;BID;24754,75;24763,75
2025-12-18 00:00:00.404;24752,0;1;BID;24754,75;24763,75
2025-12-18 00:00:00.908;24758,75;3;BID;24754,75;24763,75
2025-12-18 00:00:00.912;24758,75;1;BID;24754,75;24763,75
2025-12-18 00:00:00.912;24758,75;1;BID;24754,75;24763,75
2025-12-18 00:00:01.132;24763,75;1;ASK;24757,75;24764,5
2025-12-18 00:00:01.148;24763,75;1;ASK;24757,75;24764,5
2025-12-18 00:00:06.816;24768,0;1;ASK;24766,25;24768,5
2025-12-18 00:00:06.816;24768,0;2;ASK;24766,25;24768,5
2025-12-18 00:00:06.820;24767,75;1;ASK;24766,25;24768,5
2025-12-18 00:00:09.752;24766,25;1;ASK;24763,25;24766,0
2025-12-18 00:00:14.232;24764,5;1;ASK;24762,0;24766,0
2025-12-18 00:00:28.668;24760,25;1;ASK;24757,25;24761,5
2025-12-18 00:00:29.924;24761,5;1;ASK;24758,75;24762,5
2025-12-18 00:00:29.924;24761,75;1;ASK;24758,75;24762,5
2025-12-18 00:00:29.924;24762,0;1;ASK;24758,75;24762,5
2025-12-18 00:00:29.924;24762,5;1;ASK;24758,75;24762,5
2025-12-18 00:00:29.924;24762,5;1;ASK;24758,75;24762,5
2025-12-18 00:00:29.928;24760,25;1;BID;24758,75;24762,5
2025-12-18 00:00:30.876;24760,25;1;BID;24761,75;24765,75
2025-12-18 00:00:39.220;24754,5;1;BID;24754,5;24758,5
2025-12-18 00:01:00.024;24756,25;2;ASK;24754,5;24756,25
2025-12-18 00:01:00.048;24756,0;1;ASK;24754,5;24756,25
2025-12-18 00:01:05.100;24756,25;1;ASK;24754,5;24756,25
2025-12-18 00:01:06.888;24756,25;1;ASK;24754,5;24756,25
2025-12-18 00:01:17.220;24754,0;1;BID;24753,0;24756,25
2025-12-18 00:01:18.772;24754,25;1;BID;24753,0;24756,25
2025-12-18 00:01:20.336;24756,25;1;BID;24755,75;24758,25
2025-12-18 00:01:20.336;24756,25;1;BID;24755,75;24758,25
2025-12-18 00:01:31.112;24756,25;1;BID;24754,75;24758,25
2025-12-18 00:01:33.576;24755,75;1;ASK;24752,75;24757,0
2025-12-18 00:01:52.288;24755,0;1;ASK;24751,5;24755,25
2025-12-18 00:01:57.352;24755,5;1;ASK;24751,25;24754,0
2025-12-18 00:02:11.520;24752,25;3;BID;24752,0;24754,25
2025-12-18 00:02:22.484;24755,0;1;BID;24755,0;24757,25
2025-12-18 00:02:22.484;24755,0;1;BID;24755,0;24757,25
2025-12-18 00:02:26.348;24755,0;1;ASK;24753,0;24756,5
2025-12-18 00:02:26.348;24754,25;1;BID;24753,0;24756,5
2025-12-18 00:02:26.348;24753,5;1;BID;24753,0;24756,5
2025-12-18 00:02:36.892;24757,0;1;BID;24756,25;24758,5
2025-12-18 00:02:38.020;24758,5;1;BID;24757,5;24760,25
2025-12-18 00:02:38.020;24759,0;1;ASK;24757,5;24760,25
2025-12-18 00:02:52.440;24761,0;1;BID;24760,25;24763,0
2025-12-18 00:02:52.440;24762,0;1;ASK;24760,25;24763,0
2025-12-18 00:03:12.516;24760,0;1;BID;24759,5;24762,25
2025-12-18 00:03:12.516;24760,25;1;BID;24759,5;24762,25
2025-12-18 00:03:40.116;24757,25;1;ASK;24756,0;24758,25
2025-12-18 00:03:47.216;24757,25;1;ASK;24756,0;24758,0
2025-12-18 00:03:55.308;24756,25;1;ASK;24753,0;24755,75
2025-12-18 00:03:55.312;24756,0;1;ASK;24753,0;24755,75
2025-12-18 00:03:55.312;24756,0;1;ASK;24753,0;24755,75
2025-12-18 00:03:55.312;24755,75;1;ASK;24753,0;24755,75
2025-12-18 00:04:52.404;24753,25;1;ASK;24750,0;24753,0
2025-12-18 00:05:04.792;24746,75;1;ASK;24744,75;24748,0
2025-12-18 00:05:06.384;24742,5;1;BID;24742,5;24745,5
2025-12-18 00:05:17.316;24742,75;1;BID;24742,25;24745,0
2025-12-18 00:05:17.320;24742,5;1;BID;24742,25;24745,0
2025-12-18 00:05:25.172;24742,5;1;ASK;24738,25;24741,0
2025-12-18 00:05:25.180;24741,5;1;ASK;24738,25;24741,0
2025-12-18 00:05:25.204;24740,25;1;ASK;24738,25;24741,0
2025-12-18 00:05:26.244;24741,0;1;BID;24740,0;24743,0
2025-12-18 00:05:50.236;24745,0;1;BID;24744,25;24746,5
2025-12-18 00:05:58.148;24742,75;1;BID;24742,25;24744,75
