tp;sl;rr_ratio;days_traded;total_trades;profit_trades;stop_trades;win_rate;total_pnl;total_pnl_usd;avg_pnl_usd;max_drawdown;sharpe_ratio;sortino_ratio;profit_factor;avg_trades_per_day
50,0;50,0;1,0;51;1247;619;586;51,369294605809124;1754,0;35080,0;28,13151563753007;-32075,0;0,4421579040714788;2,332664835286857;1,0563139931740615;24,45098039215686
150,0;25,0;6,0;51;883;120;723;14,23487544483986;1520,25;30405,0;34,43374858437146;-44710,0;0,43759279925996314;3,363098083302128;0,995850622406639;17,313725490196077
50,0;25,0;2,0;51;1891;638;1221;34,319526627218934;1560,0;31200,0;16,499206768905342;-19460,0;0,3604632303225044;2,074031873006547;1,045045045045045;37,07843137254902
50,0;15,0;3,3333333333333335;51;2471;584;1861;23,885480572597135;1541,0;30820,0;12,472683124241199;-16140,0;0,34677029081653277;1,8685880420818728;1,046032598961132;48,450980392156865
25,0;50,0;0,5;51;2081;1384;661;67,67726161369193;1242,75;24855,0;11,943777030273907;-24950,0;0,2657834816912905;1,076779786765103;1,0468986384266263;40,80392156862745
75,0;50,0;1,5;51;899;345;511;40,30373831775701;836,75;16735,0;18,61512791991101;-31860,0;0,2403854864108171;1,4586332724789735;1,012720156555773;17,627450980392158
75,0;35,0;2,142857142857143;51;1128;346;739;31,889400921658982;884,0;17680,0;15,673758865248226;-39210,0;0,23908524943137316;1,563597768201597;1,0032862942199885;22,11764705882353
75,0;15,0;5,0;51;1901;317;1557;16,915688367129135;819,25;16385,0;8,619147816938453;-19270,0;0,19770434111764143;1,1816419789250112;1,0179833012202955;37,27450980392157
25,0;15,0;1,6666666666666667;51;3576;1353;2201;38,069780528981426;836,5;16730,0;4,6784116331096195;-14635,0;0,18353291066902;0,747465886604793;1,024534302589732;70,11764705882354
75,0;25,0;3,0;51;1417;347;1036;25,090383224873463;720,0;14400,0;10,162314749470713;-31725,0;0,18257932450313644;1,191151446019684;1,0048262548262548;27,784313725490197
25,0;35,0;0,7142857142857143;51;2478;1439;1007;58,830744071954214;614,5;12290,0;4,959644874899112;-29930,0;0,1299202396293242;0,570577214185634;1,0207121577528728;48,588235294117645
25,0;25,0;1,0;51;2843;1420;1396;50,42613636363637;540,75;10815,0;3,8040801969750264;-22415,0;0,11723907970919646;0,5035477473630677;1,0171919770773639;55,745098039215684
