vwap_fast, vwap_slow, fast_slow_diff, total_trades, total_pnl, win_rate          , winners, losers, avg_winner        , avg_loser         , sharpe               , sortino             , max_drawdown, avg_pnl_per_trade
       20,       100,             80,          407, -12340.0 , 25.7985257985258  ,     105,    302, 2167.2380952380954, -794.3708609271523, -0.022458455833610457, -0.5819133187343384 , -36535.0    , -30.31941031941032
       20,       144,            124,          407, -12340.0 , 25.7985257985258  ,     105,    302, 2167.2380952380954, -794.3708609271523, -0.022458455833610457, -0.5819133187343384 , -36535.0    , -30.31941031941032
       20,       180,            160,          407, -12340.0 , 25.7985257985258  ,     105,    302, 2167.2380952380954, -794.3708609271523, -0.022458455833610457, -0.5819133187343384 , -36535.0    , -30.31941031941032
       20,       200,            180,          407, -12340.0 , 25.7985257985258  ,     105,    302, 2167.2380952380954, -794.3708609271523, -0.022458455833610457, -0.5819133187343384 , -36535.0    , -30.31941031941032
       20,       240,            220,          407, -12340.0 , 25.7985257985258  ,     105,    302, 2167.2380952380954, -794.3708609271523, -0.022458455833610457, -0.5819133187343384 , -36535.0    , -30.31941031941032
       20,       280,            260,          407, -12340.0 , 25.7985257985258  ,     105,    302, 2167.2380952380954, -794.3708609271523, -0.022458455833610457, -0.5819133187343384 , -36535.0    , -30.31941031941032
       30,       100,             70,          420, -16605.0 , 25.476190476190474,     107,    313, 2136.07476635514  , -783.2747603833866, -0.029700808004031996, -0.38703788369233993, -42535.0    , -39.535714285714285
       30,       144,            114,          420, -16605.0 , 25.476190476190474,     107,    313, 2136.07476635514  , -783.2747603833866, -0.029700808004031996, -0.38703788369233993, -42535.0    , -39.535714285714285
       30,       180,            150,          420, -16605.0 , 25.476190476190474,     107,    313, 2136.07476635514  , -783.2747603833866, -0.029700808004031996, -0.38703788369233993, -42535.0    , -39.535714285714285
       30,       200,            170,          420, -16605.0 , 25.476190476190474,     107,    313, 2136.07476635514  , -783.2747603833866, -0.029700808004031996, -0.38703788369233993, -42535.0    , -39.535714285714285
       30,       240,            210,          420, -16605.0 , 25.476190476190474,     107,    313, 2136.07476635514  , -783.2747603833866, -0.029700808004031996, -0.38703788369233993, -42535.0    , -39.535714285714285
       30,       280,            250,          420, -16605.0 , 25.476190476190474,     107,    313, 2136.07476635514  , -783.2747603833866, -0.029700808004031996, -0.38703788369233993, -42535.0    , -39.535714285714285
       40,       100,             60,          409, 2255.0   , 27.383863080684595,     112,    297, 2112.5            , -789.040404040404 , 0.004059444005826456 , 0.0720507157559279  , -36455.0    , 5.513447432762836
       40,       144,            104,          409, 2255.0   , 27.383863080684595,     112,    297, 2112.5            , -789.040404040404 , 0.004059444005826456 , 0.0720507157559279  , -36455.0    , 5.513447432762836
