vwap_fast, vwap_slow, fast_slow_diff, total_trades, total_pnl, win_rate          , winners, losers, avg_winner        , avg_loser         , sharpe               , sortino             , max_drawdown, avg_pnl_per_trade
       40,       180,            140,          409, 2255.0   , 27.383863080684595,     112,    297, 2112.5            , -789.040404040404 , 0.004059444005826456 , 0.0720507157559279  , -36455.0    , 5.513447432762836
       40,       200,            160,          409, 2255.0   , 27.383863080684595,     112,    297, 2112.5            , -789.040404040404 , 0.004059444005826456 , 0.0720507157559279  , -36455.0    , 5.513447432762836
       40,       240,            200,          409, 2255.0   , 27.383863080684595,     112,    297, 2112.5            , -789.040404040404 , 0.004059444005826456 , 0.0720507157559279  , -36455.0    , 5.513447432762836
       40,       280,            240,          409, 2255.0   , 27.383863080684595,     112,    297, 2112.5            , -789.040404040404 , 0.004059444005826456 , 0.0720507157559279  , -36455.0    , 5.513447432762836
       50,       100,             50,          408, 3775.0   , 27.205882352941174,     111,    297, 2144.5945945945946, -788.8047138047139, 0.006782729215926526 , 0.10321043821984902 , -25400.0    , 9.252450980392156
       50,       144,             94,          408, 3775.0   , 27.205882352941174,     111,    297, 2144.5945945945946, -788.8047138047139, 0.006782729215926526 , 0.10321043821984902 , -25400.0    , 9.252450980392156
       50,       180,            130,          408, 3775.0   , 27.205882352941174,     111,    297, 2144.5945945945946, -788.8047138047139, 0.006782729215926526 , 0.10321043821984902 , -25400.0    , 9.252450980392156
       50,       200,            150,          408, 3775.0   , 27.205882352941174,     111,    297, 2144.5945945945946, -788.8047138047139, 0.006782729215926526 , 0.10321043821984902 , -25400.0    , 9.252450980392156
       50,       240,            190,          408, 3775.0   , 27.205882352941174,     111,    297, 2144.5945945945946, -788.8047138047139, 0.006782729215926526 , 0.10321043821984902 , -25400.0    , 9.252450980392156
       50,       280,            230,          408, 3775.0   , 27.205882352941174,     111,    297, 2144.5945945945946, -788.8047138047139, 0.006782729215926526 , 0.10321043821984902 , -25400.0    , 9.252450980392156
       60,       100,             40,          398, 2170.0   , 27.63819095477387 ,     110,    288, 2092.6363636363635, -791.7361111111111, 0.004026242338756635 , 0.07592580436867678 , -28235.0    , 5.452261306532663
       60,       144,             84,          398, 2170.0   , 27.63819095477387 ,     110,    288, 2092.6363636363635, -791.7361111111111, 0.004026242338756635 , 0.07592580436867678 , -28235.0    , 5.452261306532663
       60,       180,            120,          398, 2170.0   , 27.63819095477387 ,     110,    288, 2092.6363636363635, -791.7361111111111, 0.004026242338756635 , 0.07592580436867678 , -28235.0    , 5.452261306532663
       60,       200,            140,          398, 2170.0   , 27.63819095477387 ,     110,    288, 2092.6363636363635, -791.7361111111111, 0.004026242338756635 , 0.07592580436867678 , -28235.0    , 5.452261306532663
       60,       240,            180,          398, 2170.0   , 27.63819095477387 ,     110,    288, 2092.6363636363635, -791.7361111111111, 0.004026242338756635 , 0.07592580436867678 , -28235.0    , 5.452261306532663
       60,       280,            220,          398, 2170.0   , 27.63819095477387 ,     110,    288, 2092.6363636363635, -791.7361111111111, 0.004026242338756635 , 0.07592580436867678 , -28235.0    , 5.452261306532663
       80,       144,             64,          417, -12735.0 , 25.899280575539567,     108,    309, 2135.3703703703704, -787.5566343042071, -0.02288284675023656 , -0.4050715579976786 , -36960.0    , -30.53956834532374
       80,       180,            100,          417, -12735.0 , 25.899280575539567,     108,    309, 2135.3703703703704, -787.5566343042071, -0.02288284675023656 , -0.4050715579976786 , -36960.0    , -30.53956834532374
       80,       200,            120,          417, -12735.0 , 25.899280575539567,     108,    309, 2135.3703703703704, -787.5566343042071, -0.02288284675023656 , -0.4050715579976786 , -36960.0    , -30.53956834532374
       80,       240,            160,          417, -12735.0 , 25.899280575539567,     108,    309, 2135.3703703703704, -787.5566343042071, -0.02288284675023656 , -0.4050715579976786 , -36960.0    , -30.53956834532374
       80,       280,            200,          417, -12735.0 , 25.899280575539567,     108,    309, 2135.3703703703704, -787.5566343042071, -0.02288284675023656 , -0.4050715579976786 , -36960.0    , -30.53956834532374
      100,       144,             44,          410, -8875.0  , 26.097560975609756,     107,    303, 2147.0560747663553, -787.4917491749175, -0.016115687116908306, -0.2762706477020522 , -28395.0    , -21.646341463414632
      100,       180,             80,          410, -8875.0  , 26.097560975609756,     107,    303, 2147.0560747663553, -787.4917491749175, -0.016115687116908306, -0.2762706477020522 , -28395.0    , -21.646341463414632
      100,       200,            100,          410, -8875.0  , 26.097560975609756,     107,    303, 2147.0560747663553, -787.4917491749175, -0.016115687116908306, -0.2762706477020522 , -28395.0    , -21.646341463414632
      100,       240,            140,          410, -8875.0  , 26.097560975609756,     107,    303, 2147.0560747663553, -787.4917491749175, -0.016115687116908306, -0.2762706477020522 , -28395.0    , -21.646341463414632
      100,       280,            180,          410, -8875.0  , 26.097560975609756,     107,    303, 2147.0560747663553, -787.4917491749175, -0.016115687116908306, -0.2762706477020522 , -28395.0    , -21.646341463414632
      120,       180,             60,          379, 10480.0  , 28.49604221635884 ,     108,    271, 2077.1296296296296, -789.1143911439115, 0.020263032959496906 , 0.35248638973665625 , -24660.0    , 27.651715039577837
      120,       200,             80,          379, 10480.0  , 28.49604221635884 ,     108,    271, 2077.1296296296296, -789.1143911439115, 0.020263032959496906 , 0.35248638973665625 , -24660.0    , 27.651715039577837
      120,       240,            120,          379, 10480.0  , 28.49604221635884 ,     108,    271, 2077.1296296296296, -789.1143911439115, 0.020263032959496906 , 0.35248638973665625 , -24660.0    , 27.651715039577837
      120,       280,            160,          379, 10480.0  , 28.49604221635884 ,     108,    271, 2077.1296296296296, -789.1143911439115, 0.020263032959496906 , 0.35248638973665625 , -24660.0    , 27.651715039577837
      144,       200,             56,          373, 15680.0  , 28.686327077747993,     107,    266, 2087.570093457944 , -780.7894736842105, 0.03076446759042816  , 0.389024142485376   , -17360.0    , 42.03753351206434
      144,       240,             96,          373, 15680.0  , 28.686327077747993,     107,    266, 2087.570093457944 , -780.7894736842105, 0.03076446759042816  , 0.389024142485376   , -17360.0    , 42.03753351206434
      144,       280,            136,          373, 15680.0  , 28.686327077747993,     107,    266, 2087.570093457944 , -780.7894736842105, 0.03076446759042816  , 0.389024142485376   , -17360.0    , 42.03753351206434
