tp;sl;rr_ratio;days_traded;total_trades;profit_trades;stop_trades;win_rate;total_pnl;total_pnl_usd;avg_pnl_usd;max_drawdown;sharpe_ratio;sortino_ratio;ulcer_index;profit_factor;avg_trades_per_day
50,0;50,0;1,0;57;1401;686;666;50,7396449704142;910,25;18205,0;12,994289793004997;-30160,0;0,2092519895625373;1,5584004413397596;34,28480902527228;1,03003003003003;24,57894736842105
75,0;35,0;2,142857142857143;57;1279;393;836;31,97721724979658;788,5;15770,0;12,329945269741986;-46735,0;0,19352784772387313;3,1347489446419754;40,14530490127647;1,007347915242652;22,43859649122807
100,0;25,0;4,0;57;1354;259;1049;19,80122324159021;730,75;14615,0;10,793943870014772;-41050,0;0,17359644733088134;4,888089579500989;44,10819478179881;0,9876072449952336;23,75438596491228
25,0;50,0;0,5;57;2412;1594;771;67,39957716701903;769,0;15380,0;6,376451077943615;-27630,0;0,1448545079497662;0,7127652580193296;35,15000946300352;1,0337224383916992;42,31578947368421
75,0;25,0;3,0;57;1649;400;1205;24,922118380062305;590,5;11810,0;7,16191631291692;-41955,0;0,13246873878733542;2,9993462729191336;42,09955524081919;0,995850622406639;28,92982456140351
50,0;25,0;2,0;57;2236;736;1460;33,51548269581057;522,75;10455,0;4,675760286225403;-33975,0;0,10558108492357149;1,754059091693507;51,49232281178556;1,0082191780821919;39,228070175438596
200,0;75,0;2,6666666666666665;57;340;68;216;23,943661971830984;208,0;4160,0;12,235294117647058;-47705,0;0,08698816109448905;0,8461243739608173;70,00020232675878;0,8395061728395061;5,964912280701754
25,0;15,0;1,6666666666666667;57;4648;1740;2878;37,678648765699435;440,75;8815,0;1,8965146299483648;-22415,0;0,0778566491229982;2,095880126059414;58,63284001858099;1,0076441973592773;81,54385964912281
100,0;75,0;1,3333333333333333;57;598;232;311;42,7255985267035;233,0;4660,0;7,792642140468227;-42085,0;0,0743210868915263;0,4593424703781215;64,0117102594224;0,9946409431939979;10,491228070175438
100,0;50,0;2,0;57;816;250;512;32,808398950131235;140,5;2810,0;3,4436274509803924;-36075,0;0,039835760711280574;0,4307352697507916;53,676198932823105;0,9765625;14,31578947368421
200,0;100,0;2,0;57;280;68;155;30,493273542600896;-53,5;-1070,0;-3,8214285714285716;-43395,0;-0,023861273238481983;-0,14296219937244997;90,41194609281298;0,8774193548387097;4,912280701754386
200,0;25,0;8,0;57;802;70;680;9,333333333333334;-192,5;-3850,0;-4,800498753117207;-37585,0;-0,05764274505053006;-2,5280540401892706;128,14630435527394;0,8235294117647058;14,070175438596491
25,0;35,0;0,7142857142857143;57;2959;1700;1217;58,27905382242029;-340,0;-6800,0;-2,2980736735383576;-44165,0;-0,06201412463852693;-0,47139479781266636;79,91593172800233;0,997769691278319;51,91228070175438
25,0;25,0;1,0;57;3527;1738;1752;49,799426934097426;-397,25;-7945,0;-2,2526226254607313;-35455,0;-0,07182957566256344;-0,9087487038001612;87,50448356856784;0,9920091324200914;61,87719298245614
200,0;50,0;4,0;57;481;73;351;17,21698113207547;-244,0;-4880,0;-10,145530145530145;-53470,0;-0,08722428250023896;-1,3287310484369812;74,28104582278661;0,8319088319088319;8,43859649122807
