hour,total_trades,winners,losers,win_rate,total_pnl_usd,avg_pnl_usd,best_trade,worst_trade
0,0,0,0,0.0,0.0,0.0,0.0,0.0
1,21,7,14,33.33333333333333,-3500.0,-166.66666666666666,2500.0,-1500.0
2,20,6,14,30.0,-10560.0,-528.0,2500.0,-1500.0
3,5,1,4,20.0,-3500.0,-700.0,2500.0,-1500.0
4,5,3,2,60.0,4500.0,900.0,2500.0,-1500.0
5,7,3,4,42.857142857142854,1500.0,214.28571428571428,2500.0,-1500.0
6,4,3,1,75.0,6000.0,1500.0,2500.0,-1500.0
7,10,4,6,40.0,-855.0,-85.5,2500.0,-1500.0
8,9,5,4,55.55555555555556,6500.0,722.2222222222222,2500.0,-1500.0
9,12,3,9,25.0,-6000.0,-500.0,2500.0,-1500.0
10,10,7,3,70.0,13000.0,1300.0,2500.0,-1500.0
11,14,5,9,35.714285714285715,-2570.0,-183.57142857142858,2500.0,-1500.0
12,6,5,1,83.33333333333334,11000.0,1833.3333333333333,2500.0,-1500.0
13,13,5,8,38.46153846153847,500.0,38.46153846153846,2500.0,-1500.0
14,15,5,10,33.33333333333333,-5430.0,-362.0,2500.0,-1500.0
15,47,19,28,40.42553191489361,7475.0,159.04255319148936,2500.0,-1500.0
16,44,21,23,47.72727272727273,16475.0,374.4318181818182,2500.0,-1500.0
17,39,21,18,53.84615384615385,17805.0,456.53846153846155,2500.0,-1500.0
18,34,16,18,47.05882352941176,14130.0,415.5882352941176,2500.0,-1500.0
19,31,12,19,38.70967741935484,290.0,9.35483870967742,2500.0,-1500.0
20,22,9,13,40.909090909090914,-7895.0,-358.8636363636364,2500.0,-1500.0
21,17,9,8,52.94117647058824,5640.0,331.7647058823529,2500.0,-1500.0
22,12,9,3,75.0,2595.0,216.25,1695.0,-1140.0
23,0,0,0,0.0,0.0,0.0,0.0,0.0
