entry_time,total_trades,win_rate,total_pnl_pts,total_pnl_usd,avg_trade_usd
16:00:00,53,50.943396226415096,1645.0,32900.0,620.7547169811321
18:00:00,53,43.39622641509434,1028.75,20575.0,388.20754716981133
18:30:00,53,43.39622641509434,359.5,7190.0,135.66037735849056
13:30:00,53,52.83018867924528,292.0,5840.0,110.18867924528301
17:30:00,53,49.056603773584904,134.0,2680.0,50.56603773584906
20:00:00,53,47.16981132075472,5.25,105.0,1.9811320754716981
15:30:00,53,47.16981132075472,-133.75,-2675.0,-50.471698113207545
19:30:00,53,52.83018867924528,-215.75,-4315.0,-81.41509433962264
19:00:00,53,49.056603773584904,-226.75,-4535.0,-85.56603773584905
15:00:00,53,49.056603773584904,-366.25,-7325.0,-138.20754716981133
14:30:00,53,41.509433962264154,-944.25,-18885.0,-356.3207547169811
14:00:00,53,41.509433962264154,-1503.25,-30065.0,-567.2641509433962
13:00:00,53,47.16981132075472,-1589.5,-31790.0,-599.811320754717
16:30:00,53,45.28301886792453,-2408.0,-48160.0,-908.6792452830189
17:00:00,53,39.62264150943396,-2656.25,-53125.0,-1002.3584905660377
